,Name,Club,Overall,Value,foot,SM,W/F,D/W,A/W,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,PAC,SHO,PAS,DRI,DEF,PHY
303,Iker Muniain Goñi,Athletic Club de Bilbao,82,26000000.0,0,4,3,2,1,73,76,43,82,63,87,76,69,70,86,83,77,92,80,94,66,71,73,45,72,66,45,77,82,61,82,58,55,38,10,5,5,13,12,80,72,77,87,51,58
304,Pedro Rodríguez Ledesma,Chelsea,82,19500000.0,0,4,5,0,0,78,78,55,80,70,84,81,57,71,85,78,73,81,81,82,77,66,70,47,79,56,49,82,78,66,77,49,32,31,5,11,12,15,9,75,77,77,84,43,56
305,Giacomo Bonaventura,Milan,82,21500000.0,0,4,3,1,0,82,70,70,84,78,83,78,78,80,85,73,73,75,82,77,84,68,82,63,86,68,72,78,82,68,82,74,72,68,10,14,7,15,14,73,77,82,82,72,69
306,Bas Dost,Eintracht Frankfurt,82,21500000.0,0,2,3,1,1,38,86,93,73,83,68,61,30,37,75,46,53,34,82,32,82,49,70,92,70,68,39,88,67,90,81,38,45,26,6,12,15,11,8,50,82,57,66,45,80
307,Taison Barcellos Freda,Shakhtar Donetsk,82,19500000.0,0,4,3,1,1,73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,85,67,83,56,49,74,79,72,82,38,53,40,7,7,11,15,13,92,79,75,86,47,69
308,Marlos Romero Bonfim,Shakhtar Donetsk,82,19500000.0,1,5,3,1,1,76,79,53,81,68,87,82,72,73,88,85,82,85,77,84,77,68,78,76,78,58,51,77,82,80,84,45,44,42,6,13,13,8,9,83,78,79,86,46,73
309,Mario Balotelli,Brescia,82,23000000.0,0,4,4,2,1,64,83,67,79,78,81,75,78,66,85,75,77,71,68,50,86,74,66,83,77,70,30,78,74,91,81,10,22,20,2,2,2,4,2,76,82,73,79,24,76
310,Aleksandar Kolarov,Roma,82,10000000.0,1,3,3,1,0,90,60,80,78,64,80,85,88,77,77,71,68,62,83,58,95,79,83,74,86,86,82,78,77,80,90,82,83,81,16,15,8,16,6,69,74,81,76,82,79
311,Giuliano Victor de Paula,Al Nassr,82,21500000.0,0,4,3,1,0,77,77,59,82,65,82,67,71,80,84,85,77,85,81,85,78,61,82,74,76,72,42,81,80,79,82,49,43,38,16,11,13,9,8,81,77,79,83,46,75
312,Alexis Sánchez,Inter,82,21000000.0,0,4,3,0,0,77,76,68,76,83,85,79,78,74,84,83,79,86,79,87,83,85,71,71,77,76,46,82,79,74,79,38,44,35,10,10,15,12,13,81,78,77,85,44,73
313,Marko Arnautović,Shanghai SIPG FC,82,21500000.0,0,4,4,1,0,78,78,74,78,79,84,79,72,74,85,77,83,69,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,80,79,77,82,47,82
314,Willian Borges da Silva,Chelsea,82,21000000.0,0,4,4,0,0,76,77,31,80,59,88,83,84,77,82,88,82,87,80,79,84,40,77,59,81,44,55,79,83,70,79,43,57,51,14,12,13,7,13,85,78,80,85,49,60
315,Simon Kjær,Atalanta,82,18000000.0,0,2,3,0,2,50,55,81,76,37,46,52,69,69,70,64,65,48,75,53,78,74,70,81,41,82,82,31,49,61,69,81,82,79,6,10,13,10,15,65,55,63,55,81,78
316,Sergio Asenjo Andrés,Villarreal CF,82,17000000.0,0,1,3,1,1,24,14,13,39,15,15,23,22,39,14,59,54,62,79,58,58,73,41,73,13,20,22,12,46,15,64,24,15,14,84,82,77,80,81,84,82,77,81,56,80
317,Olivier Giroud,Chelsea,82,17500000.0,1,3,3,1,1,64,83,91,79,83,70,70,65,58,83,44,48,55,84,53,85,84,60,89,71,76,42,84,77,83,79,37,37,20,12,15,11,6,5,46,81,71,72,42,79
318,Juan Manuel Mata García,Manchester United,82,19500000.0,1,4,3,1,1,82,74,56,84,71,81,85,86,80,86,66,58,79,85,89,74,61,68,34,70,50,39,81,84,80,87,38,31,21,9,10,14,5,8,62,74,83,83,36,47
319,Emiliano Viviano,Sporting CP,82,12000000.0,1,1,2,1,1,12,17,13,36,13,18,14,16,37,22,30,33,35,74,32,57,66,29,58,18,18,10,10,60,21,64,27,10,12,83,84,76,81,83,83,84,76,83,32,81
320,Łukasz Fabiański,West Ham United,82,9500000.0,0,1,2,1,1,14,13,11,20,17,14,18,12,32,22,50,47,53,75,44,53,69,25,65,20,43,16,15,52,22,63,14,12,13,80,83,70,82,84,80,83,70,84,48,82
321,Lucas Biglia,Milan,82,11000000.0,0,3,4,0,1,74,50,54,86,78,80,71,76,82,84,55,55,74,80,78,77,60,71,61,75,83,82,50,80,72,80,80,78,74,14,12,7,12,7,55,63,81,81,77,68
322,Franck Ribéry,Fiorentina,82,7500000.0,0,5,4,1,1,80,74,41,82,79,84,83,81,77,85,77,74,84,83,87,75,34,58,59,71,51,33,77,84,78,85,31,25,26,15,6,9,7,10,75,74,81,84,30,56
323,Héctor Herrera,Atlético Madrid,82,21500000.0,0,3,4,0,0,65,72,61,80,59,76,67,63,77,78,71,73,72,82,68,81,76,93,74,78,84,82,82,78,67,75,81,82,67,6,10,15,7,16,72,75,75,76,78,81
324,Santiago Cazorla González,Villarreal CF,82,11000000.0,0,4,5,2,0,85,71,60,86,72,83,86,78,83,87,63,57,76,79,89,77,50,60,57,78,67,68,76,86,80,88,68,63,58,6,9,5,7,15,60,74,85,84,65,59
325,Jesús Navas González,Sevilla FC,82,13500000.0,0,4,2,1,0,83,66,58,78,75,83,82,46,75,82,89,86,84,81,85,75,63,78,33,70,68,75,81,77,56,78,70,68,69,10,10,15,7,13,87,69,77,83,69,53
326,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,82,8000000.0,0,3,3,1,0,54,83,92,72,80,76,61,54,52,82,60,61,56,85,53,82,89,50,82,78,82,23,87,73,86,87,58,44,49,14,10,9,15,9,61,82,64,75,49,74
327,Daniele De Rossi,Boca Juniors,82,7000000.0,0,2,4,0,1,57,50,81,81,74,64,62,71,80,77,60,58,62,80,72,81,74,70,78,72,83,87,55,73,80,92,90,82,80,10,7,13,10,9,59,64,73,69,85,77
328,José Manuel Reina Páez,Milan,82,3700000.0,0,1,3,1,1,11,14,13,19,11,10,11,11,22,23,50,63,50,82,60,62,73,34,72,15,32,22,13,65,24,64,20,22,24,79,82,82,82,81,79,82,82,81,57,82
333,Éder Gabriel Militão,Real Madrid,81,23000000.0,0,2,2,0,1,72,48,77,69,34,70,60,40,68,71,78,80,69,81,67,62,86,88,77,42,83,82,64,59,60,74,81,82,80,11,8,15,12,15,79,50,66,71,81,81
334,David Neres Campos,Ajax,81,24000000.0,1,5,3,1,1,67,76,45,78,72,88,70,52,69,86,88,87,91,79,86,74,54,76,64,67,58,35,78,81,69,80,40,32,32,14,10,5,13,6,87,73,73,87,36,65
335,Tanguy Ndombele,Tottenham Hotspur,81,26000000.0,0,4,3,1,1,67,59,56,84,59,88,67,58,79,86,84,76,83,84,86,80,63,80,78,65,81,75,70,83,60,87,68,74,69,8,10,13,8,7,80,65,78,87,70,78
336,Houssem Aouar,Olympique Lyonnais,81,26000000.0,0,4,3,1,0,68,74,59,84,68,84,78,70,79,84,79,76,81,79,82,64,62,76,61,71,67,68,76,84,63,81,69,66,60,14,6,11,7,10,77,71,79,83,66,66
337,Lautaro Martínez,Inter,81,27000000.0,0,4,4,1,0,56,82,82,72,69,82,76,33,73,82,81,81,86,78,73,79,88,78,84,69,84,31,82,76,66,77,56,22,25,11,8,8,8,13,81,77,68,82,40,83
338,Laureano Thomas Santeiro Marre,Fluminense,81,15500000.0,1,4,5,1,1,73,72,44,79,67,82,56,75,80,82,86,78,89,80,88,67,44,67,48,75,41,31,82,80,74,77,29,13,23,9,7,8,14,10,82,72,77,83,26,51
339,Gelson Dany Batalha Martins,AS Monaco,81,23000000.0,0,5,3,0,0,79,70,51,76,74,87,82,60,55,81,95,95,95,77,92,72,65,86,48,69,60,43,78,77,66,82,54,46,42,12,9,7,6,9,95,71,73,86,48,61
340,Wilfred Ndidi,Leicester City,81,20500000.0,0,3,4,0,1,50,50,76,77,66,74,58,58,73,76,70,72,69,79,67,80,90,92,74,68,85,84,67,67,55,77,84,85,83,13,14,7,7,13,71,62,67,74,83,82
341,Pablo Fornals Malla,West Ham United,81,24500000.0,0,4,3,1,0,74,77,50,82,72,80,70,70,79,82,69,65,76,76,75,77,58,76,67,80,65,74,77,83,55,75,72,74,73,9,11,12,7,15,67,76,79,80,71,68
342,Marcos Acuña,Sporting CP,81,18500000.0,1,4,3,0,0,87,66,63,78,68,87,87,78,76,85,78,75,83,80,86,83,69,90,81,84,88,76,77,82,74,87,78,80,75,8,14,13,13,14,76,74,81,86,76,84
343,Wout Weghorst,VfL Wolfsburg,81,21000000.0,0,3,3,0,0,42,84,87,76,79,65,40,37,48,78,57,68,63,82,44,84,79,85,86,66,76,34,85,65,77,80,37,32,25,11,9,14,16,12,63,80,59,69,39,83
344,Daniel Ceballos Fernández,Arsenal,81,24000000.0,0,4,3,1,0,74,68,41,83,62,85,73,63,80,85,72,66,81,80,79,64,51,74,63,71,76,76,76,83,55,80,62,75,74,12,15,16,7,13,69,67,79,84,68,68
345,Victor Lindelöf,Manchester United,81,22000000.0,0,3,4,0,1,62,42,79,79,38,71,64,59,78,76,72,76,67,82,62,70,80,76,78,52,81,81,51,70,54,83,82,83,79,12,16,8,7,9,74,50,72,72,82,78
346,Donny van de Beek,Ajax,81,24500000.0,0,3,3,0,0,67,77,66,83,78,78,77,62,75,84,67,74,72,82,68,82,70,89,77,78,74,74,85,81,55,85,71,72,67,7,12,8,10,14,71,78,77,79,71,79
347,Marcelo Brozović,Inter,81,19500000.0,0,3,4,0,1,72,69,62,82,65,80,79,74,83,83,63,64,73,78,74,80,67,87,62,81,82,81,66,80,69,78,75,78,77,8,8,15,11,8,64,73,79,80,76,73
348,Daniel García Carrillo,Athletic Club de Bilbao,81,17000000.0,0,3,3,0,1,55,69,46,82,52,73,61,57,79,80,52,38,67,79,70,72,64,89,73,73,85,81,78,79,58,74,82,84,77,6,14,14,6,11,44,69,73,75,78,79
349,Armando Izzo,Torino,81,18500000.0,0,2,4,1,1,35,19,81,64,38,62,26,26,64,66,69,67,64,80,66,56,76,65,77,44,81,83,16,33,37,76,83,84,82,12,6,10,11,12,68,33,48,65,83,75
350,Gerónimo Rulli,Montpellier HSC,81,16000000.0,0,1,3,1,1,12,15,12,32,16,14,19,20,23,15,54,48,58,76,50,58,65,42,73,17,26,21,12,58,24,61,15,13,17,83,77,77,75,86,83,77,77,86,51,75
351,Thiago Henrique Mendes Ribeiro,Olympique Lyonnais,81,19000000.0,0,4,3,0,1,67,63,59,83,60,78,67,77,81,81,73,82,78,81,77,81,68,87,66,79,80,82,70,80,60,79,79,77,76,14,9,12,13,8,78,70,78,79,77,74
352,João Mário Naval Costa Eduardo,Lokomotiv Moscow,81,21500000.0,0,4,4,1,1,77,64,55,84,69,84,74,67,79,85,71,68,80,73,77,76,62,77,65,72,60,72,73,82,66,82,57,70,62,6,15,8,8,8,69,69,80,83,64,67
353,José Luís Gayà Peña,Valencia CF,81,21000000.0,1,4,3,1,0,80,61,52,81,58,79,80,49,75,81,83,87,83,82,80,62,52,83,61,59,76,77,74,75,52,76,75,80,82,13,10,9,12,9,85,61,77,80,75,69
354,Piotr Zieliński,Napoli,81,22500000.0,0,4,5,1,1,77,68,52,84,75,85,80,65,80,85,80,82,79,76,76,76,53,73,57,82,56,75,77,83,51,75,69,72,71,12,9,12,11,6,81,72,81,84,70,61
355,Raphaël Guerreiro,Borussia Dortmund,81,21500000.0,1,4,2,1,1,82,73,37,83,79,85,84,82,77,85,80,68,88,82,87,79,53,75,49,82,54,75,76,83,44,84,68,69,64,12,6,8,11,8,73,75,82,85,66,57
356,Lucas Vázquez Iglesias,Real Madrid,81,18000000.0,0,4,4,2,0,80,72,56,79,58,82,82,71,75,81,85,80,81,85,83,80,68,91,57,76,72,59,82,80,56,75,57,59,58,9,16,9,9,7,82,73,79,82,58,69
357,Emre Can,Juventus,81,23000000.0,0,3,4,1,1,70,60,72,83,65,80,64,64,81,83,68,71,72,78,69,81,76,87,83,75,86,82,76,78,60,80,82,82,80,14,8,8,13,11,70,68,77,79,81,84
358,Abdoulaye Doucouré,Watford,81,20000000.0,0,3,3,1,0,68,73,66,82,68,78,41,42,75,80,65,72,62,78,68,84,72,92,80,75,78,82,73,77,54,74,79,83,76,15,12,12,15,14,69,74,73,77,79,82
359,Gerard Moreno Balagueró,Villarreal CF,81,21000000.0,1,3,4,1,0,61,82,80,75,81,79,71,56,57,80,75,77,72,79,67,80,76,74,73,78,55,40,82,62,75,74,43,41,41,15,12,7,12,10,76,80,66,78,45,70
360,Matthias Ginter,Borussia Mönchengladbach,81,19500000.0,0,2,3,1,1,68,55,85,77,53,62,44,42,71,72,54,69,55,79,49,74,65,74,82,46,69,80,55,69,67,71,83,84,77,12,10,6,8,10,62,58,69,65,82,77
361,Ryan Fraser,Bournemouth,81,21500000.0,0,3,4,1,0,82,75,30,78,64,82,83,72,71,81,92,88,95,77,96,71,60,79,50,73,65,45,77,80,69,79,45,53,42,15,14,15,7,10,90,73,78,83,46,61
362,Yussuf Poulsen,RB Leipzig,81,22000000.0,0,3,4,0,0,69,80,85,75,76,77,71,43,54,77,81,84,75,81,55,74,84,87,79,59,84,52,86,69,59,73,57,59,33,6,11,15,14,8,83,74,68,76,57,82
363,Franco Vázquez,Sevilla FC,81,16500000.0,1,4,3,1,1,73,77,68,84,81,85,79,68,81,86,53,58,67,78,34,76,45,64,77,84,78,69,77,84,67,80,50,59,48,14,15,13,9,7,56,78,80,81,58,72
364,Alassane Plea,Borussia Mönchengladbach,81,22000000.0,0,4,3,1,0,78,82,73,76,81,78,78,74,68,79,76,76,77,81,77,83,71,78,77,81,63,39,83,78,65,76,29,40,30,11,15,16,12,15,76,81,76,78,39,74
365,Luka Milivojević,Crystal Palace,81,17500000.0,0,2,2,0,1,66,55,75,81,50,62,71,81,79,76,53,56,62,78,63,84,62,90,82,77,88,80,66,73,91,76,78,78,73,13,9,16,6,12,55,67,76,67,78,84
366,Luke Shaw,Manchester United,81,20000000.0,1,3,2,1,0,79,44,75,78,54,82,76,58,71,80,81,83,75,80,74,70,79,81,75,54,82,81,73,74,53,76,80,82,79,10,12,13,7,7,82,54,75,80,80,78
367,Alessio Cragno,Cagliari,81,18000000.0,0,1,3,1,1,15,12,12,26,13,13,11,12,25,21,41,37,37,71,43,52,74,43,55,17,33,19,15,42,31,59,20,11,12,84,78,69,76,88,84,78,69,88,39,76
368,Juan Bernat Velasco,Paris Saint-Germain,81,19500000.0,1,4,3,1,0,84,65,55,83,61,84,78,51,73,86,85,82,86,83,88,64,73,80,57,62,75,79,80,79,53,79,75,81,78,8,9,12,11,16,83,64,79,85,76,67
369,Marcel Sabitzer,RB Leipzig,81,22500000.0,0,3,4,0,0,72,79,56,78,78,79,74,72,72,81,75,73,75,84,80,86,71,84,75,82,73,57,80,79,65,75,60,56,53,11,13,14,15,13,74,80,76,80,57,77
370,Willi Orban,RB Leipzig,81,19000000.0,0,2,3,0,1,39,40,86,71,33,53,28,32,59,59,51,53,48,75,56,39,90,68,85,29,80,81,39,45,41,70,81,85,80,15,12,15,10,6,52,37,54,56,83,80
371,Eran Zahavi,Guangzhou R&F FC,81,16000000.0,0,4,4,2,0,60,86,69,78,77,82,74,78,69,83,76,74,89,79,72,79,75,74,68,78,68,38,83,81,65,74,30,41,34,13,12,13,8,16,75,81,73,82,39,70
372,Tomáš Vaclík,Sevilla FC,81,14000000.0,0,1,3,1,1,15,14,19,17,13,14,17,16,38,20,36,37,36,78,56,56,73,38,73,16,29,23,15,68,13,60,20,18,18,82,72,74,82,85,82,72,74,85,37,82
373,Alessandro Florenzi,Roma,81,15000000.0,0,4,3,1,0,77,70,72,77,87,78,73,79,75,79,85,79,87,80,82,82,74,89,63,82,79,79,82,76,76,80,76,79,78,9,8,10,11,10,82,77,76,80,77,73
374,Geoffrey Kondogbia,Valencia CF,81,21500000.0,1,4,2,1,0,65,69,75,83,62,79,62,56,79,82,65,73,73,83,66,86,78,82,92,80,86,78,77,79,45,84,77,80,81,15,10,10,8,10,69,73,76,79,78,88
375,Rafael Alcântara,RC Celta,81,22000000.0,1,4,4,1,0,72,73,55,85,76,86,75,61,76,83,68,67,79,77,79,79,74,59,66,82,44,70,77,81,67,80,68,72,66,11,6,15,13,7,67,76,79,84,68,60
376,Timo Horn,1. FC Köln,81,15500000.0,1,1,3,1,1,19,13,14,35,14,20,12,15,32,22,45,51,50,76,31,59,64,31,67,17,41,22,15,55,21,25,14,13,12,82,80,79,78,84,82,80,79,84,48,78
377,Jordi Masip López,Real Valladolid CF,81,14000000.0,0,1,4,1,1,20,12,13,42,19,17,21,20,38,25,65,65,70,77,67,54,85,41,54,13,21,16,11,62,12,65,21,14,13,82,82,72,77,84,82,82,72,84,65,77
378,Granit Xhaka,Arsenal,81,20500000.0,1,3,3,1,1,73,53,62,85,50,70,76,77,85,80,48,52,49,73,61,90,30,79,77,79,92,71,75,82,63,74,64,72,69,7,8,11,7,13,50,67,81,71,68,78
379,Jonathan Viera Ramos,UD Las Palmas,81,17500000.0,0,4,4,2,0,75,78,41,83,65,82,80,76,78,80,85,76,90,81,93,70,91,80,67,79,56,73,72,82,74,80,56,68,55,16,16,9,14,9,80,75,80,83,61,69
380,Sebastián Coates,Sporting CP,81,15500000.0,0,2,3,1,1,17,42,80,70,39,64,39,19,74,62,44,63,32,74,31,50,50,77,94,30,83,80,49,64,72,73,82,84,85,16,13,15,16,13,54,43,55,59,82,85
381,André Gomes Magalhães Almeida,SL Benfica,81,15000000.0,0,3,3,0,1,83,58,77,80,54,75,78,42,75,79,66,69,66,78,60,76,77,88,80,67,81,79,70,72,43,77,83,84,80,14,6,7,12,8,68,63,76,75,82,82
382,Jesús Corona,FC Porto,81,21000000.0,0,5,5,1,1,79,72,67,76,75,90,85,67,65,85,88,79,91,80,87,66,72,74,39,67,64,59,80,78,68,85,64,63,54,11,6,10,14,9,83,70,75,88,62,54
383,Henrikh Mkhitaryan,Roma,81,17000000.0,0,4,5,0,0,78,73,53,80,77,83,82,66,73,83,79,77,80,79,83,83,66,76,59,72,69,60,81,82,72,76,53,53,55,5,11,14,5,7,78,75,78,83,55,66
384,Marcos Alonso Mendoza,Chelsea,81,15000000.0,1,3,3,2,0,83,68,83,83,70,78,85,86,73,83,68,65,64,82,58,84,72,91,76,77,75,79,77,69,64,75,75,81,78,9,7,13,9,12,66,73,79,77,79,79
385,Nemanja Matić,Manchester United,81,14500000.0,1,3,3,1,1,71,59,74,82,73,76,72,67,84,78,45,51,43,77,47,84,65,69,84,74,78,82,69,73,64,81,79,83,75,7,15,12,14,9,48,68,77,72,80,78
386,Adem Ljajić,Beşiktaş JK,81,18500000.0,0,4,4,2,0,82,70,48,80,74,85,80,85,77,86,81,76,81,74,81,82,63,72,59,81,54,32,73,80,75,78,39,35,35,6,14,7,6,12,78,75,80,84,37,61
387,Nicolas Nkoulou,Torino,81,15000000.0,0,2,3,1,1,60,33,77,72,64,68,37,28,70,72,70,70,66,78,74,58,83,64,77,46,79,83,54,63,50,78,82,83,78,6,7,6,15,7,70,44,64,70,82,74
388,Luiz Gustavo Dias,Fenerbahçe SK,81,13500000.0,1,3,3,0,1,63,48,72,75,54,68,42,64,76,73,61,56,62,83,62,78,76,85,81,73,84,83,53,69,58,84,82,79,82,10,6,11,12,13,58,60,69,69,80,82
389,Sebastian Giovinco,Al Hilal,81,14000000.0,0,4,4,1,0,72,78,34,80,75,86,90,92,76,86,84,78,94,83,93,80,34,75,42,81,75,26,83,78,73,82,23,29,28,6,3,6,3,3,81,79,79,87,27,56
390,Nicolás Gaitán,Chicago Fire,81,15500000.0,1,4,2,1,1,79,68,54,81,80,82,86,72,75,81,81,75,86,82,80,72,82,67,46,71,69,40,77,81,71,80,35,42,43,8,11,9,7,5,78,71,80,82,41,58
391,Fernando Reges,Sevilla FC,81,13500000.0,0,3,2,1,1,62,54,72,80,56,68,65,53,76,75,60,62,70,77,57,76,74,83,82,68,84,83,59,68,54,76,80,83,81,1,1,1,1,1,61,62,71,70,81,82
392,Marco Parolo,Lazio,81,7000000.0,0,3,4,0,0,70,70,75,80,76,75,67,55,83,79,66,62,65,82,71,87,77,88,74,86,80,80,82,78,45,78,78,80,82,13,9,6,7,9,64,76,76,75,79,79
393,Moussa Sissoko,Tottenham Hotspur,81,17000000.0,0,3,3,0,0,75,65,70,82,64,84,75,74,76,80,74,85,64,82,58,85,77,91,90,69,85,80,76,76,60,75,76,82,81,14,8,11,10,8,80,70,78,79,79,89
394,Fernando Muslera,Galatasaray SK,81,9500000.0,0,1,2,1,1,15,10,12,44,10,25,14,10,47,27,60,62,68,75,62,56,84,45,68,10,32,23,13,62,24,53,12,16,16,81,75,75,81,83,81,75,75,83,61,81
395,Vedran Ćorluka,Lokomotiv Moscow,81,8500000.0,0,3,3,1,0,68,44,81,68,38,67,66,60,67,73,49,59,57,73,46,64,81,70,84,50,81,75,45,57,49,78,77,83,82,15,9,12,14,6,55,49,65,67,79,80
396,Antonio Adán Garrido,Atlético Madrid,81,11000000.0,1,1,2,1,1,12,11,23,34,15,12,11,12,43,15,56,54,55,77,51,59,71,32,77,12,41,20,11,42,25,63,20,14,18,79,82,78,82,81,79,82,78,81,55,82
397,Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,81,13500000.0,0,3,3,1,2,80,65,47,87,61,68,83,85,80,84,68,40,71,78,76,84,59,76,69,80,74,70,77,85,69,73,70,70,65,16,10,14,6,13,53,72,84,74,67,71
398,Dimitri Payet,Olympique de Marseille,81,14000000.0,0,4,4,2,0,84,76,59,82,76,81,84,78,80,84,70,71,77,73,80,80,48,70,72,78,57,37,77,83,74,79,32,36,39,11,15,9,14,12,71,77,82,81,38,67
399,Kévin Gameiro,Valencia CF,81,14000000.0,0,3,4,1,1,69,80,67,79,78,76,74,70,69,78,87,84,80,81,76,82,84,71,64,73,66,38,85,75,81,80,50,33,39,6,10,8,8,6,85,79,74,77,43,67
400,Łukasz Piszczek,Borussia Dortmund,81,6000000.0,0,2,4,1,1,82,64,79,77,64,72,80,47,72,76,74,79,66,82,66,78,82,75,78,69,83,83,73,71,65,82,82,83,78,14,11,14,6,12,77,68,75,73,82,78
401,Andrés Guardado,Real Betis,81,13500000.0,1,4,2,1,1,75,64,55,83,69,80,78,81,82,85,71,66,79,81,87,72,74,79,60,74,72,73,70,84,70,76,74,74,74,7,10,10,11,10,68,68,81,82,72,68
402,José Miguel da Rocha Fonte,LOSC Lille,81,5500000.0,0,2,3,0,1,36,40,82,68,34,58,33,32,58,64,34,38,58,73,54,39,72,60,82,29,84,80,42,55,43,73,81,83,80,7,11,16,10,6,36,38,54,60,81,76
403,Renato Augusto,Beijing Sinobo Guoan FC,81,15000000.0,0,4,4,1,1,75,65,57,81,77,82,80,75,81,81,67,67,67,81,66,81,49,81,76,81,58,72,75,81,68,68,75,73,64,6,11,16,15,8,67,73,79,79,71,72
404,Jardel Nivaldo Vieira,SL Benfica,81,8500000.0,0,2,2,0,1,46,38,84,67,27,52,30,35,53,60,46,63,35,75,34,58,76,55,89,37,83,81,30,49,57,71,84,83,75,7,16,11,16,7,55,42,54,53,82,79
405,Laurent Koscielny,FC Girondins de Bordeaux,81,8500000.0,0,2,3,0,2,52,37,81,76,35,62,31,49,70,68,58,61,58,77,61,54,78,63,75,47,86,84,41,56,51,75,81,83,83,13,11,9,11,7,60,43,63,64,82,74
406,Andrea Consigli,Sassuolo,81,11000000.0,0,1,3,1,1,10,10,10,31,19,10,15,15,27,23,48,34,57,75,40,54,80,31,51,19,11,15,10,46,21,63,10,17,19,81,82,72,80,83,81,82,72,83,40,80
407,Francesc Fàbregas i Soler,AS Monaco,81,13500000.0,0,3,3,1,0,84,71,72,89,81,76,78,81,87,83,54,52,64,78,75,77,63,55,61,70,45,50,70,88,78,92,64,59,58,6,10,8,15,15,53,73,87,77,60,56
408,Mousa Dembélé,Guangzhou R&F FC,81,15000000.0,1,4,2,1,1,65,64,70,85,73,89,65,55,79,88,72,73,81,81,76,79,77,60,90,68,79,81,69,80,63,90,75,80,70,16,14,11,16,14,73,68,77,87,77,80
409,Bafétimbi Gomis,Al Hilal,81,11000000.0,0,4,3,2,0,61,84,84,75,79,78,61,62,46,79,69,70,59,78,58,84,74,73,83,75,52,38,79,71,83,82,22,32,35,14,11,9,9,13,70,82,66,75,36,74
410,Lisandro López,Racing Club,81,6500000.0,0,4,4,0,0,66,86,79,76,74,79,78,73,71,82,74,75,77,77,79,82,79,65,76,75,61,52,84,75,85,86,35,58,34,8,10,11,13,6,75,82,73,80,50,70
411,James Milner,Liverpool,81,10500000.0,0,3,4,0,0,86,62,66,84,76,77,81,75,81,80,63,59,69,84,73,82,62,90,70,70,85,79,72,79,88,86,77,80,79,12,9,10,8,6,61,70,82,77,77,78
412,Jérémy Mathieu,Sporting CP,81,5500000.0,1,2,2,1,0,77,52,80,74,61,65,82,79,77,62,65,70,51,74,43,80,65,78,87,74,72,82,58,58,78,76,86,83,83,13,14,10,9,5,68,64,73,62,83,81
413,Ricardo Andrade Quaresma Bernardo,Kasimpaşa SK,81,8000000.0,0,5,4,2,0,91,67,41,79,80,87,94,71,75,86,77,77,86,75,84,79,63,62,59,79,74,24,78,84,73,82,29,17,11,12,14,10,5,15,77,73,82,86,24,63
417,João Félix Sequeira,Atlético Madrid,80,28000000.0,0,5,4,1,0,73,79,69,76,79,82,81,58,67,80,79,85,83,83,80,82,79,79,64,80,69,38,84,77,68,82,30,42,35,13,12,14,13,14,82,80,74,81,40,70
418,Lorenzo Morón García,Real Betis,80,19500000.0,0,3,3,1,1,41,81,75,74,76,80,72,53,41,79,76,77,70,79,58,81,70,63,80,73,63,11,80,63,77,70,55,12,16,7,13,13,15,6,77,79,59,78,31,72
419,Dominik Livaković,Dinamo Zagreb,80,15500000.0,0,1,3,1,1,13,12,13,46,10,19,12,11,56,28,57,54,65,80,30,56,61,32,75,9,26,21,11,60,15,64,24,20,21,80,78,74,79,82,80,78,74,82,55,79
420,Rúben Alves Dias,SL Benfica,80,18500000.0,0,2,4,0,1,34,29,82,71,30,57,33,26,58,63,63,64,48,76,56,74,77,86,79,22,92,76,39,34,45,79,84,83,77,7,8,13,7,12,64,38,50,59,81,83
421,Maximiliano Gómez,Valencia CF,80,20000000.0,0,3,3,2,0,59,84,86,75,76,74,68,57,63,78,60,67,55,78,50,79,79,79,85,75,65,21,85,70,67,79,35,20,23,7,8,13,12,6,64,80,68,72,32,79
422,Óscar Melendo Jiménez,RCD Espanyol,80,20500000.0,1,3,3,1,1,76,74,42,83,63,81,74,35,78,82,83,82,86,71,90,73,53,71,59,69,57,55,76,79,37,66,58,58,53,9,7,13,15,8,82,71,77,82,55,61
423,Manuel Lazzari,Lazio,80,18500000.0,0,3,3,0,0,80,67,44,77,59,80,68,58,75,80,90,87,85,75,88,53,39,84,56,57,56,55,73,75,55,75,61,51,46,14,6,11,5,11,88,62,76,81,54,62
424,Carlos Soler Barragán,Valencia CF,80,21000000.0,0,3,4,1,1,81,74,56,84,66,78,69,82,78,80,75,78,74,80,72,77,57,74,68,73,65,68,76,83,73,76,60,65,56,6,14,7,13,11,77,74,81,78,62,68
